,Close_SPOT,Close_SIRI,SPOT_Norm,SIRI_Norm
2025-02-13,648.32,26.44,138.71664847979116,99.77358490566039
2025-02-14,638.18,27.11,136.54706121488326,102.30188679245282
2025-02-18,630.56,26.52,134.9166613175856,100.07547169811322
2025-02-19,642.73,25.2,137.52059396195736,95.09433962264151
2025-02-20,636.77,25.19,136.24537304491088,95.05660377358491
2025-02-21,607.38,24.75,129.95699338853586,93.39622641509435
2025-02-24,601.61,25.0,128.72242548730128,94.33962264150944
2025-02-25,588.57,24.51,125.93234482315938,92.49056603773586
2025-02-26,603.13,24.13,129.04764961379635,91.0566037735849
2025-02-27,590.76,23.92,126.40092432120163,90.26415094339623
2025-02-28,608.01,24.19,130.0917902304384,91.28301886792454
2025-03-03,599.86,24.04,128.3479898153497,90.71698113207547
2025-03-04,584.14,23.65,124.98448766501915,89.24528301886792
2025-03-05,586.83,23.23,125.56004878361897,87.66037735849056
2025-03-06,543.41,23.75,116.26976485439802,89.62264150943396
2025-03-07,532.1,25.23,113.84984059738537,95.20754716981132
2025-03-10,489.24,24.39,104.67937608318891,92.0377358490566
2025-03-11,508.44,22.7,108.7874703126003,85.66037735849056
2025-03-12,535.84,22.52,114.65006311915613,84.9811320754717
2025-03-13,537.91,21.83,115.09296702826452,82.37735849056604
2025-03-14,574.79,22.67,122.98393136059225,85.54716981132076
2025-03-17,597.46,23.05,127.83447803667332,86.9811320754717
2025-03-18,569.48,22.63,121.84778655027067,85.39622641509433
2025-03-19,586.23,23.08,125.43167083894986,87.0943396226415
2025-03-20,594.55,23.04,127.21184500502814,86.94339622641509
2025-03-21,599.94,23.47,128.36510687463897,88.56603773584905
2025-03-24,604.71,23.95,129.38571153475834,90.37735849056604
2025-03-25,615.88,24.24,131.77568093801483,91.47169811320754
2025-03-26,576.35,23.95,123.31771401673193,90.37735849056604
2025-03-27,580.22,23.82,124.14575175984766,89.88679245283019
2025-03-28,561.16,22.75,120.06761238419239,85.84905660377359
2025-03-31,550.03,22.545,117.68620151058047,85.07547169811322
2025-04-01,551.73,21.96,118.04993902047629,82.8679245283019
2025-04-02,565.41,22.33,120.9769561589319,84.26415094339622
2025-04-03,558.42,21.13,119.4813531035368,79.73584905660377
2025-04-04,503.3,19.51,107.68769925326829,73.62264150943398
2025-04-07,518.97,20.36,111.0405032415431,76.83018867924528
2025-04-08,518.35,19.34,110.90784603205171,72.9811320754717
2025-04-09,569.06,20.9,121.75792198900228,78.86792452830188
2025-04-10,553.02,20.08,118.32595160151484,75.77358490566037
2025-04-11,543.66,20.02,116.32325566467681,75.54716981132076
2025-04-14,549.17,20.72,117.50219312322142,78.18867924528301
2025-04-15,572.39,20.42,122.47041958191582,77.05660377358491
2025-04-16,563.07,20.08,120.4762821747224,75.77358490566037
2025-04-17,574.25,20.32,122.86839121039006,76.67924528301887
2025-04-21,558.82,20.16,119.56693839998289,76.0754716981132
2025-04-22,590.39,20.32,126.321757921989,76.67924528301887
2025-04-23,592.7,21.03,126.81601300896507,79.35849056603774
2025-04-24,605.95,21.36,129.65102595374117,80.60377358490565
2025-04-25,620.72,21.67,132.81126302501232,81.77358490566039
2025-04-28,597.73,21.77,127.89224811177439,82.15094339622641
2025-04-29,576.94,21.73,123.44395232898988,82.0
2025-04-30,613.98,21.42,131.36915077989602,80.83018867924528
2025-05-01,602.26,19.5,128.86150159402615,73.58490566037736
2025-05-02,644.0,20.47,137.79232727817362,77.24528301886792
2025-05-05,637.65,21.29,136.43366069709225,80.33962264150944
2025-05-06,632.85,21.47,135.4066371397394,81.0188679245283
2025-05-07,657.1,21.15,140.5952457367824,79.81132075471697
2025-05-08,655.26,21.72,140.20155337313048,81.96226415094338
2025-05-09,648.25,21.57,138.7016710529131,81.39622641509435
