,Open,High,Low,Close,Volume,Ticker
2025-04-01,22.51,22.565,21.84,21.96,4317983.0,SIRI
2025-04-02,21.88,22.65,21.7216,22.33,3609593.0,SIRI
2025-04-03,21.66,21.84,20.945,21.13,7205885.0,SIRI
2025-04-04,20.455,20.64,19.01,19.51,9249265.0,SIRI
2025-04-07,18.91,21.35,18.69,20.36,10358278.0,SIRI
2025-04-08,20.905,21.14,18.931,19.34,7469354.0,SIRI
2025-04-09,19.62,21.66,19.31,20.9,11090263.0,SIRI
2025-04-10,20.59,20.7,19.73,20.08,6906450.0,SIRI
2025-04-11,19.99,20.125,19.3149,20.02,4864727.0,SIRI
2025-04-14,20.36,20.855,20.21,20.72,3816724.0,SIRI
2025-04-15,20.59,20.7778,20.275,20.42,2848041.0,SIRI
2025-04-16,20.2,20.41,19.825,20.08,2821375.0,SIRI
2025-04-17,20.12,20.54,20.01,20.32,2968401.0,SIRI
2025-04-21,20.255,20.29,19.81,20.16,2519191.0,SIRI
2025-04-22,20.27,20.49,20.085,20.32,3052728.0,SIRI
2025-04-23,20.98,21.81,20.93,21.03,3291419.0,SIRI
2025-04-24,21.2,21.425,20.96,21.36,3288136.0,SIRI
2025-04-25,21.39,21.715,21.21,21.67,3020031.0,SIRI
2025-04-28,21.75,22.135,21.4,21.77,2303281.0,SIRI
2025-04-29,21.71,21.86,21.46,21.73,2498400.0,SIRI
2025-04-30,21.3,21.52,20.63,21.42,4234940.0,SIRI
2025-05-01,21.61,21.68,19.41,19.5,9021386.0,SIRI
2025-05-02,19.71,20.71,19.71,20.47,8527600.0,SIRI
2025-05-05,20.29,21.41,20.12,21.29,4922109.0,SIRI
2025-05-06,21.05,21.71,21.02,21.47,4806602.0,SIRI
2025-05-07,21.63,21.7492,20.89,21.15,4105461.0,SIRI
2025-05-08,21.24,21.845,21.125,21.72,3918886.0,SIRI
2025-05-09,21.6,21.705,21.365,21.57,3553630.0,SIRI
